@Caption,ブロードバンドサービス等の契約数の推移,,,,,,,
@Creator,総合通信基盤局電気通信事業部データ通信課,,,,,,,
@Date,2021/6/30,,,,,,,
@Language,ja,,,,,,,
@@Title,,,,,,,,
西暦年,四半期,都道府県名,FTTH,DSL,CATV,FWA,BWA,LTE
@@Unit,,,,,,,,
年,期末,,契約数,契約数,契約数,契約数,契約数,契約数
@@Datatype,,,,,,,,
xsd:string,xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer
2008,Q1,奈良県,"132,545","140,205","35,139",0,-,-
2008,Q1,和歌山県,"91,208","72,636","26,647",0,-,-
2008,Q1,鳥取県,"32,393","45,785","23,306",0,-,-
2008,Q1,島根県,"32,980","58,552","22,536",99,-,-
2008,Q1,岡山県,"140,027","178,839","58,080",909,-,-
2008,Q1,広島県,"282,004","273,660","29,171",242,-,-
2008,Q1,山口県,"77,384","119,863","77,621",98,-,-
2008,Q1,徳島県,"53,334","67,723","23,739",187,-,-
2008,Q1,香川県,"59,725","107,686","23,039",373,-,-
2008,Q1,愛媛県,"80,528","138,480","31,379",115,-,-
2008,Q1,高知県,"42,590","63,244","6,084",54,-,-
2008,Q1,福岡県,"494,243","445,597","120,318",171,-,-
2008,Q1,佐賀県,"33,084","58,285","26,445",0,-,-
2008,Q1,長崎県,"62,259","114,888","44,012",616,-,-
2008,Q1,熊本県,"121,858","129,072","27,338",744,-,-
2008,Q1,大分県,"74,535","76,799","59,941",121,-,-
2008,Q1,宮崎県,"62,390","70,017","44,252",416,-,-
2008,Q1,鹿児島県,"103,125","126,405","5,369",127,-,-
2008,Q1,沖縄県,"80,638","99,729","25,478",426,-,-
2008,Q2,都道府県計,"13,087,701","12,289,893","3,955,446","13,157",-,-
2008,Q2,北海道,"491,662","502,589","77,311","2,244",-,-
2008,Q2,青森県,"63,410","121,413","13,217",158,-,-
2008,Q2,岩手県,"75,341","113,823","9,523",1,-,-
2008,Q2,宮城県,"206,590","225,982","31,708",204,-,-
2008,Q2,秋田県,"57,405","93,984","20,713",0,-,-
2008,Q2,山形県,"75,937","104,602","14,543",0,-,-
2008,Q2,福島県,"137,293","170,602",823,7,-,-
2008,Q2,茨城県,"191,764","311,816","45,891",0,-,-
2008,Q2,栃木県,"145,857","195,064","49,169",0,-,-
2008,Q2,群馬県,"161,099","210,779","18,266",1,-,-
2008,Q2,埼玉県,"755,998","727,291","249,649",533,-,-
2008,Q2,千葉県,"707,929","634,153","193,112",507,-,-
2008,Q2,東京都,"2,374,690","1,611,856","534,733","1,214",-,-
2008,Q2,神奈川県,"1,190,098","1,025,310","373,090","1,817",-,-
2008,Q2,新潟県,"150,475","243,183","23,713",1,-,-
2008,Q2,富山県,"61,921","76,202","83,770",246,-,-
2008,Q2,石川県,"94,920","105,356","33,513",172,-,-
2008,Q2,福井県,"51,075","52,262","58,690",4,-,-
2008,Q2,山梨県,"66,311","84,541","22,948",5,-,-
2008,Q2,長野県,"145,319","198,056","92,232",0,-,-
2008,Q2,岐阜県,"146,255","174,856","84,745",640,-,-
2008,Q2,静岡県,"314,728","475,479","60,742",269,-,-
2008,Q2,愛知県,"751,660","682,666","335,928",27,-,-
2008,Q2,三重県,"105,803","117,227","179,670",145,-,-
2008,Q2,滋賀県,"184,858","106,631","17,859",0,-,-
2008,Q2,京都府,"357,766","288,051","18,215",6,-,-
2008,Q2,大阪府,"1,196,606","817,134","390,974",69,-,-
2008,Q2,兵庫県,"591,622","501,664","197,694",4,-,-
2008,Q2,奈良県,"144,726","134,164","34,377",0,-,-
2008,Q2,和歌山県,"99,675","68,182","27,544",0,-,-
2008,Q2,鳥取県,"35,446","44,409","23,904",0,-,-
2008,Q2,島根県,"36,534","57,075","23,289",97,-,-
2008,Q2,岡山県,"152,328","173,801","59,265",961,-,-
2008,Q2,広島県,"303,593","267,779","29,351",243,-,-
2008,Q2,山口県,"84,837","117,494","78,275",97,-,-
2008,Q2,徳島県,"59,752","65,662","21,203",205,-,-
2008,Q2,香川県,"65,852","105,978","22,775",378,-,-
2008,Q2,愛媛県,"88,822","134,836","32,704",123,-,-
2008,Q2,高知県,"47,154","61,984","5,958",52,-,-
2008,Q2,福岡県,"530,201","428,402","124,033",180,-,-
2008,Q2,佐賀県,"36,149","57,232","27,226",0,-,-
2008,Q2,長崎県,"69,259","112,300","45,939",496,-,-
2008,Q2,熊本県,"131,153","126,166","27,668",756,-,-
2008,Q2,大分県,"80,973","73,548","60,941",118,-,-
2008,Q2,宮崎県,"66,840","67,822","47,147",432,-,-
2008,Q2,鹿児島県,"111,015","124,405","5,603",159,-,-
2008,Q2,沖縄県,"89,000","96,082","25,803",586,-,-
2008,Q3,都道府県計,"13,758,602","11,966,759","4,018,938","12,855",-,-
2008,Q3,北海道,"516,164","492,322","77,907","2,129",-,-
2008,Q3,青森県,"66,795","121,078","13,381",173,-,-
2008,Q3,岩手県,"79,934","112,335","9,616",0,-,-
2008,Q3,宮城県,"216,646","222,125","32,588",178,-,-
2008,Q3,秋田県,"60,461","93,390","20,966",0,-,-
2008,Q3,山形県,"79,893","103,416","14,583",0,-,-
2008,Q3,福島県,"144,762","169,209",832,6,-,-
2008,Q3,茨城県,"204,398","307,994","46,687",0,-,-
